Text,Type
 1-Click  ,AWS_SERVICE
 Access Manager  ,AWS_SERVICE
 ALB Application Load Balancer ,AWS_SERVICE
 AMI,AWS_SERVICE
 Amplify  ,AWS_SERVICE
 Analytics  ,AWS_SERVICE
 API Gateway  ,AWS_SERVICE
 App Mesh  ,AWS_SERVICE
 Application Discovery Service  ,AWS_SERVICE
 AppStream,AWS_SERVICE
 AppSync  ,AWS_SERVICE
 Artifact  ,AWS_SERVICE
 Athena  ,AWS_SERVICE
 Aurora  ,AWS_SERVICE
 Auto Scaling  ,AWS_SERVICE
 AWS Organizations  ,AWS_SERVICE
 Backup  ,AWS_SERVICE
 Batch  ,AWS_SERVICE
 Braket  ,AWS_SERVICE
 Cassandra Service  ,AWS_SERVICE
 Certificate Manager  ,AWS_SERVICE
 Chatbot  ,AWS_SERVICE
 Cloud Map  ,AWS_SERVICE
 Cloud9  ,AWS_SERVICE
 CloudFormation  ,AWS_SERVICE
 CloudFront  ,AWS_SERVICE
 CloudHSM  ,AWS_SERVICE
 CloudSearch  ,AWS_SERVICE
 CloudTrail  ,AWS_SERVICE
 CloudWatch,AWS_SERVICE
 CodeBuild,AWS_SERVICE
 CodeCommit,AWS_SERVICE
 CodeDeploy,AWS_SERVICE
 CodeGuru,AWS_SERVICE
 CodePipeline,AWS_SERVICE
 CodeStar,AWS_SERVICE
 Cognito  ,AWS_SERVICE
 Comprehend  ,AWS_SERVICE
 Compute Optimizer  ,AWS_SERVICE
 Config  ,AWS_SERVICE
 Container  ,AWS_SERVICE
 Control Tower  ,AWS_SERVICE
 Data Exchange  ,AWS_SERVICE
 Data Pipeline  ,AWS_SERVICE
 Database Migration Service  ,AWS_SERVICE
 DataSync  ,AWS_SERVICE
 DeepLens  ,AWS_SERVICE
 Detective  ,AWS_SERVICE
 Device Defender  ,AWS_SERVICE
 Device Farm  ,AWS_SERVICE
 Device Management  ,AWS_SERVICE
 Direct Connect  ,AWS_SERVICE
 DirectConnect  ,AWS_SERVICE
 Directory Service  ,AWS_SERVICE
 DocumentDB  ,AWS_SERVICE
 Dynamo DB,AWS_SERVICE
 EC2,AWS_SERVICE
 EC2 Image Builder  ,AWS_SERVICE
 ECR  ,AWS_SERVICE
 ECS  ,AWS_SERVICE
 EFS  ,AWS_SERVICE
 EKS  ,AWS_SERVICE
 Elastic Beanstalk  ,AWS_SERVICE
 Elastic Transcoder  ,AWS_SERVICE
 ElastiCache  ,AWS_SERVICE
 Elasticsearch   ,AWS_SERVICE
 Elemental   ,AWS_SERVICE
 EMR  ,AWS_SERVICE
 Encryption  ,AWS_SERVICE
 Events  ,AWS_SERVICE
 Forecast  ,AWS_SERVICE
